to eat	ate	midias/audios/F_audio-001.opus	midias/audios/B_audio-001.opus	audio-001
I <b>eat</b> fish.	I <b>ate</b> fish.	midias/audios/F_audio-002.opus	midias/audios/B_audio-002.opus	audio-002
You <b>eat</b> rice.	You <b>ate</b> rice.	midias/audios/F_audio-003.opus	midias/audios/B_audio-003.opus	audio-003
He <b>eats</b> beans.	He <b>ate</b> beans.	midias/audios/F_audio-004.opus	midias/audios/B_audio-004.opus	audio-004
I <b>eat</b> bread in the morning.	I <b>ate</b> bread in the morning.	midias/audios/F_audio-005.opus	midias/audios/B_audio-005.opus	audio-005
to drink.	drank	midias/audios/F_audio-006.opus	midias/audios/B_audio-006.opus	audio-006
I <b>drink</b> water.	I <b>drank</b> water.	midias/audios/F_audio-007.opus	midias/audios/B_audio-007.opus	audio-007
You <b>drink</b> milk.	You <b>drank</b> milk.	midias/audios/F_audio-008.opus	midias/audios/B_audio-008.opus	audio-008
He <b>drinks</b> juice.	He <b>drank</b> juice.	midias/audios/F_audio-009.opus	midias/audios/B_audio-009.opus	audio-009
I <b>drink</b> milk for breakfast.	I <b>drank</b> milk for breakfast.	midias/audios/F_audio-010.opus	midias/audios/B_audio-010.opus	audio-010
She <b>drinks</b> milk for breakfast.	She <b>drank</b> milk for breakfast.	midias/audios/F_audio-011.opus	midias/audios/B_audio-011.opus	audio-011
to like	Lik<b>ed</b>	midias/audios/F_audio-012.opus	midias/audios/B_audio-012.opus	audio-012
I <b>like</b> pizza.	I lik<b>ed</b> pizza.	midias/audios/F_audio-013.opus	midias/audios/B_audio-013.opus	audio-013
He <b>likes</b> orange juice.	He lik<b>ed</b>orange juice.	midias/audios/F_audio-014.opus	midias/audios/B_audio-014.opus	audio-014
You <b>like</b> to go to the mall.	You lik<b>ed</b> to go to the mall.	midias/audios/F_audio-015.opus	midias/audios/B_audio-015.opus	audio-015
He <b>likes</b> to drink coffee in the morning.	He lik<b>ed</b> to drink coffee in the morning.	midias/audios/F_audio-016.opus	midias/audios/B_audio-016.opus	audio-016
to love	lov<b>ed</b>	midias/audios/F_audio-017.opus	midias/audios/B_audio-017.opus	audio-017
I <b>love</b> grape juice.	I lov<b>ed</b> grape juice.	midias/audios/F_audio-018.opus	midias/audios/B_audio-018.opus	audio-018
You <b>love</b> soda.	You lov<b>ed</b> soda.	midias/audios/F_audio-019.opus	midias/audios/B_audio-019.opus	audio-019
He <b>loves</b> apple.	He lov<b>ed</b> apple.	midias/audios/F_audio-020.opus	midias/audios/B_audio-020.opus	audio-020
You <b>love</b> that ice cream.	You lov<b>ed</b> that ice cream.	midias/audios/F_audio-021.opus	midias/audios/B_audio-021.opus	audio-021
He <b>loves</b> that ice cream.	He lov<b>ed</b> that ice cream.	midias/audios/F_audio-022.opus	midias/audios/B_audio-022.opus	audio-022
am	was	midias/audios/F_audio-023.opus	midias/audios/B_audio-023.opus	audio-023
I <b>am</b> a doctor.	I <b>was</b> a doctor.	midias/audios/F_audio-024.opus	midias/audios/B_audio-024.opus	audio-024
is 	was	midias/audios/F_audio-025.opus	midias/audios/B_audio-025.opus	audio-025
He <b>is</b> a doctor.	He <b>was</b> a doctor.	midias/audios/F_audio-026.opus	midias/audios/B_audio-026.opus	audio-026
She <b>is</b> a lawyer.	She <b>was</b> a lawyer.	midias/audios/F_audio-027.opus	midias/audios/B_audio-027.opus	audio-027
are 	were 	midias/audios/F_audio-028.opus	midias/audios/B_audio-028.opus	audio-028
You <b>are</b> the boss.	You <b>were</b> the boss.	midias/audios/F_audio-029.opus	midias/audios/B_audio-029.opus	audio-029
We <b>are</b> at home.	We <b>were</b> at home.	midias/audios/F_audio-030.opus	midias/audios/B_audio-030.opus	audio-030
They <b>are</b> at the mall.	They <b>were</b> at the mall.	midias/audios/F_audio-031.opus	midias/audios/B_audio-031.opus	audio-031
He <b>likes</b> to watch movies with me.	He lik<b>ed</b> to watch movies with me.	midias/audios/F_audio-032.opus	midias/audios/B_audio-032.opus	audio-032
She <b>wants</b> to eat pizza at night.	She want<b>ed</b> to eat pizza at night.	midias/audios/F_audio-033.opus	midias/audios/B_audio-033.opus	audio-033
We <b>are</b> at home every night.	We <b>were</b> at home every night.	midias/audios/F_audio-034.opus	midias/audios/B_audio-034.opus	audio-034
I <b>am</b> a teacher, but I <b>work</b> at a bank.	I <b>was</b> a teacher, but I work<b>ed</b> at a bank.	midias/audios/F_audio-035.opus	midias/audios/B_audio-035.opus	audio-035
She <b>is</b> not a good friend.	She <b>was</b> not a good friend.	midias/audios/F_audio-036.opus	midias/audios/B_audio-036.opus	audio-036
They <b>have</b> a lot of friends in the USA.	They <b>had</b> a lot of friends in the USA.	midias/audios/F_audio-037.opus	midias/audios/B_audio-037.opus	audio-037
It <b>is</b> not a dog. It is a cat.	It <b>was</b> not a dog. It <b>was</b> a cat.	midias/audios/F_audio-038.opus	midias/audios/B_audio-038.opus	audio-038
You <b>do</b> not have to go to work.	You <b>did</b> not have to go to work.	midias/audios/F_audio-039.opus	midias/audios/B_audio-039.opus	audio-039
<b>Do</b> you like to buy fruits at the supermarket?	<b>Did</b> you like to buy fruits at the supermarket?	midias/audios/F_audio-040.opus	midias/audios/B_audio-040.opus	audio-040
<b>Does</b> he live with his parents downtown?	<b>Did</b> he live with his parents downtown?	midias/audios/F_audio-041.opus	midias/audios/B_audio-041.opus	audio-041
Why <b>does</b> your mother want to sell her house?	Why <b>did</b> your mother want to sell her house?	midias/audios/F_audio-042.opus	midias/audios/B_audio-042.opus	audio-042
<b>Are</b> your friends at the mall?	<b>Were</b> your friends at the mall?	midias/audios/F_audio-043.opus	midias/audios/B_audio-043.opus	audio-043
<b>Is</b> John a good teacher?	<b>Was</b> John a good teacher?	midias/audios/F_audio-044.opus	midias/audios/B_audio-044.opus	audio-044
<b>Is</b> Mary your best friend?	<b>Was</b> Mary your best friend?	midias/audios/F_audio-045.opus	midias/audios/B_audio-045.opus	audio-045
<b>Are</b> John and Mary married?	<b>Were</b> John and Mary married?	midias/audios/F_audio-046.opus	midias/audios/B_audio-046.opus	audio-046
John and Mary <b>are</b> not married.	John and Mary <b>were</b> not married.	midias/audios/F_audio-047.opus	midias/audios/B_audio-047.opus	audio-047
They <b>are</b> not married, they <b>are</b> good friends.	They <b>were</b> not married, they <b>were</b> good friends.	midias/audios/F_audio-048.opus	midias/audios/B_audio-048.opus	audio-048
